"","time","bby_temp","mat_temp","time_since_start","internal_temp","outer_temp","ex_temp_diff","log_temp_diff"
"1","13:16",23.9887735107084,25.0198995161999,0,43.1743762027,29.3905931786,"5.40181966789163","13.7837830241"
"2","13:21",23.8887040688047,25.2863320479838,5,43.2440989129,29.4591961503,"5.57049208149528","13.7849027626"
"3","13:27",24.0797438372296,25.6035630075555,11,43.2440989129,29.4363284931,"5.35658465587039","13.8077704198"
"4","13:31",23.827803735602,25.4104061793926,15,43.2440989129,29.4363284931,"5.608524757498","13.8077704198"
"5","13:36",23.7916977397358,25.6124352490687,20,43.127894396,29.3905931786,"5.59889543886425","13.7373012174"
"6","13:41",23.762803872052,25.6323950555803,25,43.127894396,29.4134608358,"5.65065696374798","13.7144335602"
"7","13:46",24.0414739668241,25.7658066805656,30,43.0814125892,29.4363284931,"5.39485452627587","13.6450840961"
"8","13:51",24.0365203634508,25.7064350194761,35,42.9652080722,29.4134608358,"5.37694047234915","13.5517472364"
"9","13:58",23.8056903076359,25.6829429508109,42,42.9419671688,29.3905931786,"5.58490287096407","13.5513739902"
"10","14:01",23.9202679285805,25.698457169249,45,42.9419671688,29.3677255213,"5.44745759271947","13.5742416475"
"11","14:06",24.1665865881399,25.8304571153192,50,42.895485362,29.3219902068,"5.15540361866013","13.5734951552"
"12","14:11",24.0828948445791,25.8114203567606,55,42.9187262654,29.3219902068,"5.23909536222087","13.5967360586"
"13","14:16",24.000036542125,25.7387834353589,NA,NA,NA,NA,NA
"14","14:22",24.0662384360576,25.8667502384035,66,42.7792808451,29.2762548923,"5.21001645624237","13.5030259528"
"15","14:26",24.0203069162787,25.9300120132528,70,42.7327990383,29.2762548923,"5.25594797602126","13.456544146"
"16","14:32",24.0419242826732,25.8335557969178,76,42.7327990383,29.3448578641,"5.30293358142684","13.3879411742"
"17","14:36",24.0405733292611,25.7928229910667,80,42.7792808451,29.2762548923,"5.23568156303888","13.5030259528"
"18","14:42",24.0194060948911,25.7950371354009,86,42.7327990383,29.1847842634,"5.16537816850889","13.5480147749"
"19","14:47",24.0185052656788,25.9030308650142,91,42.7095581349,29.1847842634,"5.16627899772125","13.5247738715"
"20","14:51",23.9865207575982,25.9291274949295,95,42.7095581349,29.1847842634,"5.19826350580179","13.5247738715"
"21","14:56",24.0351693396538,25.79016595641,100,42.7095581349,29.2991225496,"5.26395320994619","13.4104355853"
"22","15:01",24.0225589355159,25.7773226769719,105,42.8257626519,29.4363284931,"5.41376955758414","13.3894341588"
"23","15:08",23.9919272828334,25.7033325940417,112,42.8025217485,29.4820638075,"5.49013652466656","13.320457941"
"24","15:11",24.000036542125,25.8623249170894,115,42.8025217485,29.4363284931,"5.43629195097503","13.3661932554"
"25","15:16",23.8828411501665,25.8733878719153,120,42.7560399417,29.4591961503,"5.57635500013346","13.2968437914"
