"","time","mat_temp","bby_temp","time_since_start","internal_temp","outer_temp","temp","RH","ex_temp_diff","log_temp_diff"
"1","04:04",14.2740900715225,15.0383347961726,0,46.5184684545,15.88955562,54.4658333333333,91.2,"0.851220823827351","30.6289128345"
"2","04:04",14.2870073187934,14.988352542463,0,46.5184684545,15.88955562,54.4658333333333,91.2,"0.90120307753698","30.6289128345"
"3","04:10",14.6153121249586,15.3021655231437,6,49.3311902955,15.5641829725,54.387,91.3,"0.262017449356314","33.767007323"
"4","04:14",14.5330940154561,15.2468902836016,10,50.4517055005,15.5177011658,54.473,91.4,"0.270810882198399","34.9340043347"
"5","04:19",14.3833346112936,15.2335602440364,15,51.5493530482,15.4247375522,54.5088333333333,91.5,"0.191177308163631","36.124615496"
"6","04:25",14.5177321827841,15.351491566428,21,52.6470005959,15.3085330352,54.27,91.5,"-0.042958531227967","37.3384675607"
"7","04:30",14.8319101361867,15.6120064456156,26,53.0128831118,15.238810325,54.0445,91.5833333333333,"-0.373196120615578","37.7740727868"
"8","04:33",14.8733934946954,15.305125799619,29,53.1043537408,15.2620512284,53.951,91.7,"-0.0430745712189626","37.8423025124"
"9","04:33",14.6984488314482,15.3509984312468,29,53.1043537408,15.2620512284,53.951,91.7,"-0.088947202846807","37.8423025124"
"10","04:34",14.4513009613581,15.2769994908844,30,53.1043537408,15.238810325,53.9725,91.7,"-0.0381891658843507","37.8655434158"
"11","04:35",14.7301009473526,15.4012851987222,31,53.1729567125,15.2620512284,54.0226666666667,91.8,"-0.139233970322234","37.9109054841"
"12","04:40",NA,NA,36,53.3330303133,15.2155694216,54.169,91.7,NA,"38.1174608917"
"13","04:45",15.1416136919401,15.1253703831542,41,53.8818540871,15.2155694216,54.1186666666667,91.7666666666667,"0.0901990384457658","38.6662846655"
"14","04:50",NA,NA,46,54.0647953451,15.2155694216,53.9796666666667,91.8,NA,"38.8492259235"
"15","04:56",NA,NA,52,54.0876630023,15.2155694216,53.9581666666667,91.95,NA,"38.8720935807"
"16","05:00",15.1972345901334,15.6400350368904,56,54.0647953451,15.2155694216,54.067,91.9666666666667,"-0.424465615290368","38.8492259235"
"17","05:06",NA,NA,62,54.0647953451,15.2155694216,53.865,92.0166666666667,NA,"38.8492259235"
"18","05:10",NA,NA,66,54.0647953451,15.1923285183,53.602,91.9666666666667,NA,"38.8724668268"
"19","05:15",14.6212528605095,15.4057210044505,71,53.8818540871,15.1923285183,53.515,92.0333333333333,"-0.213392486150527","38.6895255688"
"20","05:20",14.479564670929,15.1268532600873,76,53.8589864299,15.1923285183,53.515,92.1166666666667,"0.0654752582126701","38.6666579116"
"21","05:25",NA,NA,81,53.7903834581,15.1923285183,53.4198333333333,92.2,NA,"38.5980549398"
"22","05:30",14.8684559421148,15.3707218661688,86,53.9961923733,15.2155694216,53.3768333333333,92.2,"-0.155152444568822","38.7806229517"
"23","05:35",NA,NA,91,53.6531775147,15.1923285183,53.537,92.4,NA,"38.4608489964"
