image,time,percentage,bird.size
E60_0019.jpg,5:21:26,0.153846154,3.25
E60_0023.jpg,5:25:20,0.48,7.8
E60_0043.jpg,5:41:18,0.897058824,34
E60_0045.jpg,5:41:42,0.8875,80
